Timestamp,Joint 1 Angle,Joint 2 Angle,Joint 3 Angle,Joint 4 Angle,Joint 5 Angle,Joint 6 Angle,Joint 7 Angle,Joint 8 Angle,Joint 9 Angle,Joint 10 Angle,Joint 11 Angle,Joint 12 Angle,Desired Joint 1 Angle,Desired Joint 2 Angle,Desired Joint 3 Angle,Desired Joint 4 Angle,Desired Joint 5 Angle,Desired Joint 6 Angle,Desired Joint 7 Angle,Desired Joint 8 Angle,Desired Joint 9 Angle,Desired Joint 10 Angle,Desired Joint 11 Angle,Desired Joint 12 Angle
1101,0.09488977491855621,-0.09222535789012909,0.09464755654335022,-0.0913170576095581,0.821792721748352,0.8157371878623962,1.0023678541183472,1.0070911645889282,-1.565186858177185,-1.5610690116882324,-1.5377755165100098,-1.5397132635116577,-0.0146721750497818,0.2564297616481781,-0.019337810575962067,-0.055470455437898636,0.5207350254058838,0.5183467864990234,0.9950743913650513,1.0680617094039917,-1.3681920766830444,-1.0842257738113403,-1.5340758562088013,-1.752645492553711
1102,0.09488977491855621,-0.09222535789012909,0.09464755654335022,-0.0913170576095581,0.821792721748352,0.8157371878623962,1.0023678541183472,1.0070911645889282,-1.565186858177185,-1.5610690116882324,-1.5377755165100098,-1.5397132635116577,0.18012133240699768,0.199812650680542,-0.12038842588663101,-0.13165408372879028,0.5377680063247681,0.36935511231422424,1.0009421110153198,1.1076631546020508,-1.545684576034546,-0.6407438516616821,-1.4675981998443604,-1.7986501455307007
1103,0.09488977491855621,-0.09222535789012909,0.09464755654335022,-0.0913170576095581,0.821792721748352,0.8157371878623962,1.0023678541183472,1.0070911645889282,-1.565186858177185,-1.5610690116882324,-1.5377755165100098,-1.5397132635116577,0.21409010887145996,0.09081458300352097,-0.15369638800621033,-0.1931062638759613,0.6157097220420837,0.43756887316703796,1.0375497341156006,1.1294419765472412,-1.7098594903945923,-0.6515631079673767,-1.5121513605117798,-1.8888938426971436
1104,0.09379978477954865,-0.09095370024442673,0.09361812472343445,-0.08919757604598999,0.8263343572616577,0.8194916248321533,1.003033995628357,1.0086051225662231,-1.5728167295455933,-1.568456768989563,-1.5426603555679321,-1.5442347526550293,0.17760160565376282,0.09974617511034012,-0.19759884476661682,-0.2608674168586731,0.677314281463623,0.4693969190120697,1.0163027048110962,1.1572686433792114,-1.789930820465088,-0.6799843907356262,-1.48280930519104,-1.9512255191802979
1105,0.09749364852905273,-0.09149869531393051,0.09731198102235794,-0.08635151386260986,0.8834377527236938,0.8736883997917175,1.0476025342941284,1.0537185668945312,-1.6887998580932617,-1.6759217977523804,-1.6257822513580322,-1.6239656209945679,0.15789146721363068,0.1360073983669281,-0.21286138892173767,-0.3240548074245453,0.7182511687278748,0.5857518911361694,1.064034104347229,1.177882432937622,-1.889174461364746,-0.7282198071479797,-1.4211785793304443,-2.024503707885742
1106,0.11263240873813629,-0.10330693423748016,0.10433636605739594,-0.08689653873443604,1.011875033378601,0.9888641238212585,1.147033929824829,1.1475183963775635,-1.909583568572998,-1.8816475868225098,-1.7833061218261719,-1.7638074159622192,0.15970802307128906,0.1255192756652832,-0.15545979142189026,-0.36647918820381165,0.8368037343025208,0.7984733581542969,1.1913851499557495,1.2176125049591064,-1.9975254535675049,-0.9709548354148865,-1.4720232486724854,-2.179551601409912
1107,0.12286621332168579,-0.14127495884895325,0.10457858443260193,-0.10427582263946533,1.1671987771987915,1.124870777130127,1.2671146392822266,1.2507647275924683,-2.1254422664642334,-2.0767154693603516,-1.9206854104995728,-1.880961298942566,0.1620854139328003,0.14316731691360474,-0.16153070330619812,-0.3555975556373596,0.9033814668655396,0.9354943037033081,1.3333512544631958,1.2576146125793457,-2.0405542850494385,-1.1998445987701416,-1.5918769836425781,-2.3545799255371094
1108,0.1636803299188614,-0.14811767637729645,0.060433950275182724,-0.25081902742385864,1.1108219623565674,1.1037976741790771,1.2632997035980225,1.1780381202697754,-2.202387571334839,-2.0604465007781982,-1.906999945640564,-2.0539872646331787,0.04155556485056877,0.09206492453813553,-0.015979133546352386,-0.4555727541446686,0.9913752675056458,1.0570108890533447,1.2619261741638184,1.193540334701538,-1.9806547164916992,-1.8113601207733154,-1.817620873451233,-2.208583354949951
1109,0.15810926258563995,-0.13001170754432678,0.06061561405658722,-0.2996869683265686,1.058805227279663,1.0781222581863403,1.273048996925354,1.1837302446365356,-2.1625826358795166,-2.017775297164917,-1.9088972806930542,-2.189146041870117,0.02658764272928238,0.06740378588438034,0.06466979533433914,-0.43052834272384644,0.9808750748634338,1.0210038423538208,1.2020342350006104,1.2564555406570435,-1.875184416770935,-1.8966875076293945,-1.9027701616287231,-2.225332498550415
1110,0.13812609016895294,-0.08786538988351822,0.07115219533443451,-0.3813152313232422,1.0412442684173584,1.0735200643539429,1.2705662250518799,1.1908152103424072,-2.1137752532958984,-1.999729871749878,-1.9150335788726807,-2.2576136589050293,0.022750630974769592,0.09650895744562149,0.07848668843507767,-0.4341652989387512,1.0552983283996582,0.9853010177612305,1.1476774215698242,1.3007605075836182,-1.8322696685791016,-2.018787145614624,-1.895254373550415,-2.196664571762085
1111,0.13509833812713623,-0.05552899092435837,0.07520938664674759,-0.43381643295288086,1.0385798215866089,1.0581390857696533,1.2792861461639404,1.2190945148468018,-2.0676727294921875,-1.9829763174057007,-1.921573519706726,-2.2615296840667725,0.08805195987224579,0.12148266285657883,0.07290757447481155,-0.3713719844818115,1.055052399635315,0.9935917854309082,1.1584553718566895,1.340665340423584,-1.8043349981307983,-2.0765957832336426,-1.8871310949325562,-2.209301233291626
